Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,37.80,38.25,37.60,37.64,161100,37.64
2011-12-29,37.47,38.02,37.39,37.87,159800,37.87
2011-12-28,38.37,38.52,37.10,37.52,255900,37.52
2011-12-27,37.91,38.46,37.75,38.35,107800,38.35
2011-12-23,37.75,38.73,37.71,37.95,297700,37.95
2011-12-22,36.60,37.84,36.60,37.57,454600,37.57
2011-12-21,36.07,36.51,35.47,36.44,323400,36.44
2011-12-20,35.90,36.23,35.47,36.00,206500,36.00
2011-12-19,35.57,35.77,34.70,34.89,210300,34.89
2011-12-16,34.99,35.50,34.57,35.34,429400,35.34
2011-12-15,34.24,35.11,34.24,34.63,327600,34.63
2011-12-14,34.34,34.46,33.75,33.86,158300,33.86
2011-12-13,35.53,35.60,34.41,34.64,148000,34.64
2011-12-12,35.68,35.73,34.96,35.28,197800,35.28
2011-12-09,35.47,36.60,35.27,36.10,314600,36.10
2011-12-08,35.75,36.08,35.01,35.18,145200,35.18
2011-12-07,36.11,36.43,35.65,36.11,189800,36.11
2011-12-06,36.34,36.51,35.75,36.39,209500,36.39
2011-12-05,36.15,36.62,35.85,36.32,216400,36.32
2011-12-02,35.80,36.12,35.42,35.50,206800,35.50
2011-12-01,35.56,35.81,35.09,35.30,175300,35.30
2011-11-30,34.94,35.74,34.89,35.69,283400,35.69
2011-11-29,34.30,34.71,33.56,33.64,295100,33.64
2011-11-28,33.05,34.52,32.95,34.16,387000,34.16
2011-11-25,32.28,32.72,31.90,31.96,121700,31.96
2011-11-23,32.67,32.85,32.04,32.51,317900,32.51
2011-11-22,33.94,34.00,32.93,33.04,370000,33.04
2011-11-21,34.51,34.51,33.63,34.14,427200,34.14
2011-11-18,34.93,35.28,34.67,35.15,234700,35.15
2011-11-17,35.16,35.70,34.50,34.68,227100,34.68
2011-11-16,35.23,35.98,34.99,35.25,294200,35.25
2011-11-15,35.34,35.95,34.92,35.64,215500,35.64
2011-11-14,35.72,36.14,35.22,35.50,312300,35.50
2011-11-11,35.56,36.47,35.42,35.73,305300,35.73
2011-11-10,35.14,35.29,34.39,35.13,347700,35.13
2011-11-09,35.53,35.80,34.53,34.66,311500,34.66
2011-11-08,37.18,37.18,35.80,36.58,196500,36.58
2011-11-07,36.98,37.25,35.95,36.80,175900,36.80
2011-11-04,37.10,37.70,36.32,37.01,239500,37.01
2011-11-03,38.29,38.31,36.96,37.46,346400,37.46
2011-11-02,36.20,39.24,36.10,37.65,858600,37.65
2011-11-01,35.91,36.58,34.94,35.40,337000,35.40
2011-10-31,36.94,37.50,36.70,37.19,208100,37.19
2011-10-28,37.56,38.18,37.31,37.36,117600,37.36
2011-10-27,38.21,38.25,37.09,38.01,339300,38.01
2011-10-26,36.08,36.67,35.47,36.49,378600,36.49
2011-10-25,35.68,35.79,35.05,35.52,181000,35.52
2011-10-24,35.35,36.15,35.22,35.84,171800,35.84
2011-10-21,34.15,35.28,34.15,35.11,229900,35.11
2011-10-20,33.89,34.04,33.14,33.66,253200,33.66
2011-10-19,34.13,34.44,33.74,33.92,202300,33.92
2011-10-18,33.12,34.79,32.63,34.35,208600,34.35
2011-10-17,33.50,33.76,32.96,33.19,355300,33.19
2011-10-14,33.54,34.08,32.87,33.82,252300,33.82
2011-10-13,33.10,33.34,32.51,33.15,213000,33.15
2011-10-12,32.22,33.86,32.16,33.38,430700,33.38
2011-10-11,32.54,32.62,31.87,31.93,417600,31.93
2011-10-10,32.10,32.90,31.94,32.66,496000,32.66
2011-10-07,32.31,32.64,31.02,31.44,284100,31.44
2011-10-06,31.95,32.36,31.33,32.16,359100,32.16
2011-10-05,31.22,32.24,30.70,32.13,256600,32.13
2011-10-04,29.32,31.24,29.18,31.16,406300,31.16
2011-10-03,31.15,31.57,29.65,29.79,338400,29.79
2011-09-30,31.84,31.95,31.07,31.37,331300,31.37
2011-09-29,32.37,32.89,31.63,32.55,275600,32.55
2011-09-28,32.58,32.70,31.57,31.72,163000,31.72
2011-09-27,32.26,33.52,32.23,32.58,322700,32.58
2011-09-26,32.76,33.04,31.20,31.42,630200,31.42
2011-09-23,31.54,32.49,31.54,32.36,391600,32.36
2011-09-22,32.30,32.53,31.30,31.80,303900,31.80
2011-09-21,34.65,34.85,33.01,33.01,213400,33.01
2011-09-20,34.90,35.75,34.21,34.32,316700,34.32
2011-09-19,34.79,34.90,34.09,34.66,465900,34.66
2011-09-16,34.38,35.61,34.37,35.56,1118800,35.56
2011-09-15,33.72,34.57,33.62,34.39,537800,34.39
2011-09-14,32.26,33.63,32.15,33.35,932700,33.35
2011-09-13,31.11,32.06,31.11,31.85,402900,31.85
2011-09-12,30.66,31.17,30.32,31.08,364600,31.08
2011-09-09,31.34,31.78,30.80,31.27,657000,31.27
2011-09-08,32.89,33.01,31.83,31.89,359600,31.89
2011-09-07,31.97,33.20,31.86,33.10,499900,33.10
2011-09-06,31.46,31.63,30.99,31.36,359000,31.36
2011-09-02,32.84,33.06,32.10,32.43,535500,32.43
2011-09-01,35.44,35.44,32.99,33.63,564700,33.63
2011-08-31,34.58,35.72,34.52,35.51,478900,35.51
2011-08-30,34.81,34.81,33.69,34.31,322800,34.31
2011-08-29,33.53,34.88,33.53,34.83,449900,34.83
2011-08-26,31.98,33.37,31.44,33.03,477100,33.03
2011-08-25,33.03,33.46,32.17,32.25,631400,32.25
2011-08-24,31.58,32.98,31.50,32.75,535400,32.75
2011-08-23,30.34,31.77,29.81,31.73,523900,31.73
2011-08-22,31.86,32.12,30.18,30.25,358700,30.25
2011-08-19,31.10,31.82,30.82,31.01,529300,31.01
2011-08-18,32.74,32.87,31.33,31.73,640800,31.73
2011-08-17,34.05,34.17,33.45,33.89,263000,33.89
2011-08-16,34.43,34.48,33.69,33.87,112500,33.87
2011-08-15,34.23,34.89,34.00,34.81,296100,34.81
2011-08-12,34.75,34.98,33.53,33.94,222200,33.94
2011-08-11,33.35,34.68,32.78,34.38,683000,34.38
2011-08-10,33.22,34.55,32.47,32.92,618200,32.92
2011-08-09,33.84,34.26,32.50,34.18,799600,34.18
2011-08-08,35.68,36.06,33.07,33.09,1557800,33.09
2011-08-05,36.54,37.30,35.13,36.25,1241400,36.25
2011-08-04,36.55,36.61,35.38,36.12,852100,36.12
2011-08-03,36.75,37.65,36.14,37.28,603900,37.28
2011-08-02,41.70,41.70,36.04,36.44,1165700,36.44
2011-08-01,39.40,39.70,38.43,38.76,413800,38.76
2011-07-29,38.80,39.35,38.52,38.79,277700,38.79
2011-07-28,40.15,40.23,39.21,39.25,234500,39.25
2011-07-27,40.74,40.81,39.95,40.18,222300,40.18
2011-07-26,41.44,41.58,40.67,40.85,241600,40.85
2011-07-25,41.03,41.62,40.80,41.58,277400,41.58
2011-07-22,41.39,41.58,41.19,41.42,174400,41.42
2011-07-21,40.17,41.92,39.95,41.49,579100,41.49
2011-07-20,40.16,40.22,39.33,39.94,343200,39.94
2011-07-19,39.38,40.00,39.15,39.85,527800,39.85
2011-07-18,39.81,39.99,38.92,39.00,330900,39.00
2011-07-15,39.74,40.04,38.98,39.73,618000,39.73
2011-07-14,41.18,41.18,38.51,39.27,817600,39.27
2011-07-13,41.25,41.63,41.15,41.25,317800,41.25
2011-07-12,41.17,41.75,40.78,40.94,259600,40.94
2011-07-11,42.14,42.18,41.05,41.30,200000,41.30
2011-07-08,42.64,42.84,42.43,42.76,226500,42.76
2011-07-07,42.82,43.43,42.79,43.25,529700,43.25
2011-07-06,42.30,42.77,42.25,42.54,257400,42.54
2011-07-05,42.48,42.61,42.00,42.58,343900,42.58
2011-07-01,40.96,42.43,40.96,42.26,419100,42.26
